regime,comparison,reference,window,corrected_rate,reference_rate,rate_ratio,rate_difference,kinetic_crossover
GSC_GB,corrected_vs_legacy_C,LEGACY_GSC,N100_to_80,0.007755737397220079,,,,False
GSC_GB,corrected_vs_legacy_C,LEGACY_GSC,N80_to_70,,,,,False
TSC_GB,corrected_vs_no_C,TS,N190_to_175,0.01216720539703536,0.01141006625483653,1.0663571205713105,0.0007571391421988295,False
TSC_GB,corrected_vs_no_C,TS,N175_to_160,0.00023912369932641274,0.0008357374028088614,0.28612300768486953,-0.0005966137034824487,True
TSC_GB,corrected_vs_no_C,TS,N190_to_160,0.0005002920970930036,0.0014797932819490922,0.3380824221840295,-0.0009795011848560886,False
TSC_GB,corrected_vs_no_C,TS,N160_to_140,,,,,False
TSC_GB,corrected_vs_no_C,TS,N140_to_120,,,,,False
TSC_GB,corrected_vs_no_C,TS,N120_to_100,,,,,False
TSC_GB,corrected_vs_no_C,TS,N100_to_80,,,,,False
TSC_GB,corrected_vs_no_C,TS,N80_to_70,,,,,False
TSC_GB,corrected_vs_legacy_C,LEGACY_TSC,N190_to_175,0.01216720539703536,0.007220323303997821,1.6851330452610758,0.004946882093037539,False
TSC_GB,corrected_vs_legacy_C,LEGACY_TSC,N175_to_160,0.00023912369932641274,0.0035992498540121497,0.0664370935682215,-0.003360126154685737,True
TSC_GB,corrected_vs_legacy_C,LEGACY_TSC,N190_to_160,0.0005002920970930036,0.004249928681936981,0.11771776294019752,-0.0037496365848439773,False
TSC_GB,corrected_vs_legacy_C,LEGACY_TSC,N160_to_140,,0.0038162248701811723,,,False
TSC_GB,corrected_vs_legacy_C,LEGACY_TSC,N140_to_120,,0.004359517159352581,,,False
TSC_GB,corrected_vs_legacy_C,LEGACY_TSC,N120_to_100,,0.01783818947743973,,,False
TSC_GB,corrected_vs_legacy_C,LEGACY_TSC,N100_to_80,,,,,False
TSC_GB,corrected_vs_legacy_C,LEGACY_TSC,N80_to_70,,,,,False
GTSC_GB,corrected_vs_no_C,GTS,N190_to_175,0.019492906426663573,0.015856553162353088,1.2293281034710608,0.003636353264310485,False
