regime,sink_path,stage,events,observed_mean_residence,observed_median_residence,rate_implied_mean_residence,median_rate
GSC_GBTJ,tj_sink,transport,3028,3.885040372293941,0.1481873941254399,0.17454193722336073,5.729282119289784
TSC_GBTJ,gb_disconnection_sink,nucleation,1675,0.0034680558910726127,0.0023735925806249725,0.0033104657014256292,302.072303473604
TSC_GBTJ,gb_disconnection_sink,exchange,1675,0.000693963684256261,7.553499062851188e-05,0.0006404504943344316,6633.336781018531
TSC_GBTJ,gb_disconnection_sink,transport,1408,10.276553122095434,1.2471880004551963,1.2650571515372127,1.432320529822446
TSC_GBTJ,tj_sink,nucleation,6083,0.9501454989378842,0.04069573970099327,0.16144108516784347,76.35694494635672
TSC_GBTJ,tj_sink,exchange,6083,0.0005618388549364249,8.353379273273731e-05,0.0005591973679521413,6808.54045875149
TSC_GBTJ,tj_sink,transport,5976,1.6172266128985018,0.15820331601837267,0.17454193722336067,5.729282119289784
GTSC_GBTJ,gb_disconnection_sink,nucleation,1644,13.899576912247737,0.003920663955291559,0.003310465701425629,302.072303473604
GTSC_GBTJ,gb_disconnection_sink,exchange,1644,6.175301703389403e-05,1.6073906294877816e-07,4.496425981246211e-05,4487069.276818784
GTSC_GBTJ,gb_disconnection_sink,transport,1186,12.460997603003738,0.9866346810870184,1.2198435768635165,1.432320529822446
GTSC_GBTJ,tj_sink,nucleation,3743,1.03811941081847,0.013969631718111941,0.3493101322202697,91.17020190673043
GTSC_GBTJ,tj_sink,exchange,3743,2.829023688254183e-05,1.0886128620768432e-07,2.481973931453559e-05,6496318.033703475
GTSC_GBTJ,tj_sink,transport,3504,3.370693640261739,0.14675701957597198,0.1745419372233607,5.729282119289784
