case,state_index,physical_time,energy,relative_change
A2 coarse,45,0.002864220036676285,5175.829309772564,-0.011494085562529538
A2 coarse,46,0.002927869370824647,5174.4879491717975,-0.011750265356702275
A2 coarse,47,0.002991518704973009,5173.172346717462,-0.012001525730514074
A2 coarse,48,0.0030551680391213707,5171.778431947628,-0.012267742584226938
A2 coarse,49,0.0031188173732697327,5170.380765291739,-0.012534675992009343
A2 coarse,50,0.0031824667074180947,5169.0099115567755,-0.012796488533292719
A2 coarse,51,0.0032461160415664567,5167.59512199483,-0.013066692159796934
A2 coarse,52,0.0033097653757148183,5166.21705977609,-0.01332988141356846
A2 coarse,53,0.0033734147098631803,5164.819876347989,-0.013596722532077556
A2 coarse,54,0.0034370640440115423,5163.449430993058,-0.013858457078888173
A2 coarse,55,0.0035007133781599043,5162.004674807522,-0.014134383881888772
A2 coarse,56,0.003564362712308266,5160.5926252823665,-0.0144040642023853
A2 coarse,57,0.003628012046456628,5159.172865686679,-0.01467521703093137
A2 coarse,58,0.00369166138060499,5157.82028557581,-0.014933539583574287
A2 coarse,59,0.0037553107147533515,5156.547526798851,-0.015176617456389827
A2 coarse,60,0.0038189600489017136,5155.188030917959,-0.015436260817576089
A2 coarse,61,0.0038826093830500756,5153.7849508137415,-0.015704228112948356
A2 coarse,62,0.003946258717198437,5152.376324138643,-0.015973254720325063
A2 coarse,63,0.0040099080513468,5151.065391758378,-0.016223623179901833
A2 coarse,64,0.004073557385495161,5149.6346852197785,-0.01649686671066499
A2 half dt,0,0.0,5236.012485284901,0.0
A2 half dt,1,3.182466707418095e-05,5235.5420932449215,-8.983783772512293e-05
A2 half dt,2,6.36493341483619e-05,5234.93232974619,-0.00020629353763902992
A2 half dt,3,9.547400122254283e-05,5234.28813458133,-0.0003293251703308606
A2 half dt,4,0.0001272986682967238,5233.668080661595,-0.0004477461866057133
A2 half dt,5,0.00015912333537090474,5233.02189865317,-0.0005711572766749337
A2 half dt,6,0.00019094800244508567,5232.350403696392,-0.0006994027609370174
A2 half dt,7,0.00022277266951926662,5231.674776926562,-0.0008284373596376349
A2 half dt,8,0.0002545973365934476,5230.976509771372,-0.0009617959330086616
A2 half dt,9,0.00028642200366762853,5230.268634384875,-0.0010969895347209542
A2 half dt,10,0.0003182466707418095,5229.538116070209,-0.0012365075967422712
A2 half dt,11,0.00035007133781599043,5228.782631485867,-0.0013807938425191098
A2 half dt,12,0.00038189600489017133,5228.007717889681,-0.0015287907386998553
A2 half dt,13,0.0004137206719643523,5227.214928399889,-0.0016802016629518719
A2 half dt,14,0.00044554533903853324,5226.42080342626,-0.001831867644624074
A2 half dt,15,0.0004773700061127142,5225.600624282939,-0.001988509582668757
A2 half dt,16,0.0005091946731868951,5224.769972842942,-0.0021471515726051472
A2 half dt,17,0.000541019340261076,5223.910548258392,-0.0023112888024083684
A2 half dt,18,0.0005728440073352571,5223.043399882075,-0.002476901160811531
A2 half dt,19,0.000604668674409438,5222.167342588214,-0.002644214989096665
A2 half dt,20,0.000636493341483619,5221.264609404924,-0.002816623512916359
A2 half dt,21,0.0006683180085577999,5220.338941853283,-0.0029934121577567334
A2 half dt,22,0.0007001426756319809,5219.423602990964,-0.003168228177560246
A2 half dt,23,0.0007319673427061618,5218.48790080185,-0.0033469332879365677
A2 half dt,24,0.0007637920097803427,5217.5504479132205,-0.003525972755711669
A2 half dt,25,0.0007956166768545237,5216.606481631607,-0.003706256184039395
A2 half dt,26,0.0008274413439287046,5215.6552861940645,-0.003887920272926747
A2 half dt,27,0.0008592660110028856,5214.689524152009,-0.004072366365209739
A2 half dt,28,0.0008910906780770665,5213.734579165313,-0.004254746561853493
A2 half dt,29,0.0009229153451512475,5212.778067409493,-0.004437425987945118
A2 half dt,30,0.0009547400122254284,5211.85684483963,-0.004613365707808644
A2 half dt,31,0.0009865646792996093,5210.936678053089,-0.004789103788863054
A2 half dt,32,0.0010183893463737903,5210.002797100822,-0.004967461070265928
A2 half dt,33,0.0010502140134479713,5209.115027202425,-0.005137011830676056
A2 half dt,34,0.001082038680522152,5208.226547699539,-0.005306698114920629
A2 half dt,35,0.001113863347596333,5207.348065217408,-0.00547447511785946
A2 half dt,36,0.0011456880146705141,5206.452493507727,-0.005645515907429278
A2 half dt,37,0.0011775126817446951,5205.545694470597,-0.005818700948465539
A2 half dt,38,0.001209337348818876,5204.662375562122,-0.005987401636433118
A2 half dt,39,0.001241162015893057,5203.7719193217135,-0.006157465447952121
A2 half dt,40,0.001272986682967238,5202.905080710762,-0.0063230186458077976
A2 half dt,41,0.0013048113500414187,5202.0042966044975,-0.0064950549250940605
A2 half dt,42,0.0013366360171155997,5201.115209739037,-0.006664857206497972
A2 half dt,43,0.0013684606841897807,5200.20688296114,-0.006838334023149895
A2 half dt,44,0.0014002853512639617,5199.279247207522,-0.007015498565103381
A2 half dt,45,0.0014321100183381425,5198.389284114384,-0.0071854681928761295
A2 half dt,46,0.0014639346854123235,5197.480174330567,-0.007359094551936996
A2 half dt,47,0.0014957593524865045,5196.564672393983,-0.007533941716483929
A2 half dt,48,0.0015275840195606853,5195.655608095307,-0.007707559388563691
A2 half dt,49,0.0015594086866348663,5194.732543399057,-0.007883850926989885
A2 half dt,50,0.0015912333537090474,5193.770480443626,-0.008067590549104007
A2 half dt,51,0.0016230580207832284,5192.819642928437,-0.008249186280180135
A2 half dt,52,0.0016548826878574092,5191.849656278864,-0.00843443920925527
A2 half dt,53,0.0016867073549315902,5190.893001944434,-0.008617145865726861
A2 half dt,54,0.0017185320220057712,5189.9485494327155,-0.008797522156725591
A2 half dt,55,0.0017503566890799522,5188.98279987053,-0.008981965865540273
A2 half dt,56,0.001782181356154133,5187.985535042977,-0.009172428518246923
A2 half dt,57,0.001814006023228314,5187.010622122557,-0.009358622291306096
A2 half dt,58,0.001845830690302495,5186.0306925798195,-0.009545774164127515
A2 half dt,59,0.0018776553573766758,5185.066319064046,-0.009729955068677222
A2 half dt,60,0.0019094800244508568,5184.10776901798,-0.009913023777691968
A2 half dt,61,0.0019413046915250378,5183.143875795908,-0.010097112953334925
A2 half dt,62,0.0019731293585992186,5182.184425648874,-0.01028035356815969
